Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,2019-07-19,10603.3488731713,9693.4865106171,10740.9887019,9282.6429998444
BTC,2019-07-20,10466.2609381509,10603.3431456849,10797.6384591308,10133.0943109498
BTC,2019-07-21,10983.2160020296,10533.9632516606,11035.4259323072,10368.8010671024
BTC,2019-07-22,10551.1316333347,11004.396573273,11096.7744188936,10314.2661819319
BTC,2019-07-23,10285.6392306749,10551.127853068,10685.2481729702,10071.5224860373
BTC,2019-07-24,10027.5326122485,10285.6348208302,10338.63883502,9882.631831681
BTC,2019-07-25,9771.5047613175,9867.2650278599,9916.4775798314,9510.6239874291
BTC,2019-07-26,9897.4293515161,9771.5048190312,10184.4403703329,9738.0890848498
BTC,2019-07-27,9812.2263505784,9897.4134463384,9924.6025631283,9643.8818286496
BTC,2019-07-28,9440.1400373076,9812.2066384441,10193.5339692602,9306.1035315409
BTC,2019-07-29,9495.855261405,9459.6742423727,9603.3192747289,9134.3993522774
BTC,2019-07-30,9506.704273142,9528.6934430847,9717.5142776084,9373.36942847
BTC,2019-07-31,9572.735371803,9506.6980276749,9719.981661389,9387.2237202366
BTC,2019-08-01,10005.2944733245,9572.7384640587,10132.4047252828,9572.738439238
BTC,2019-08-02,10385.2006061246,10005.2892918685,10474.7817377768,9884.7377276261
BTC,2019-08-03,10513.9114715942,10385.2129717491,10663.6187858619,10329.1969177772
BTC,2019-08-04,10831.2598554087,10513.9147450743,10909.2559240906,10498.9444263068
BTC,2019-08-05,10985.8075416287,10831.2503019415,11051.9857922455,10573.7772973823
BTC,2019-08-06,11811.7870541507,10985.8308827386,11940.4838657553,10939.5690792781
BTC,2019-08-07,11310.187223605,11811.8035625011,12314.107664862,11219.4037828653
BTC,2019-08-08,11956.0472230184,11310.2216405931,12129.4097391128,11283.6761111563
BTC,2019-08-09,11817.4554825164,11956.0228070619,12032.0465280883,11502.5279891368
BTC,2019-08-10,11827.5745716918,11972.5929466786,12027.2599058138,11654.6632478994
BTC,2019-08-11,11278.2812549022,11827.5745728427,11967.8779622672,11227.6222137083
BTC,2019-08-12,11485.3657829898,11279.875538619,11545.1045253183,11101.0148454184
BTC,2019-08-13,11391.9686539038,11485.3640773925,11583.8906973405,11227.4406640768
BTC,2019-08-14,10869.3791128623,11391.9638254355,11434.8885296357,10746.7559476825
BTC,2019-08-15,10211.4985816982,10851.200469968,10860.8239741865,10047.9951301391
BTC,2019-08-16,10386.5395500195,10211.509511264,10444.0799631082,9682.7114223927
BTC,2019-08-17,10388.4505925604,10307.2597589846,10530.365307162,9726.9781503814
BTC,2019-08-18,10212.1014417394,10388.4580419409,10463.9187086365,9994.1082464545
BTC,2019-08-19,10335.3728385716,10211.6709254074,10462.7495056741,10082.2654915398
BTC,2019-08-20,10774.8103058331,10335.3744772756,10812.7970799622,10264.4564614099
BTC,2019-08-21,10818.5070076193,10774.8242118954,10943.8704129867,10531.4885593807
BTC,2019-08-22,10064.9167944793,10818.5226287878,10818.5891317862,9864.136684453
BTC,2019-08-23,10161.1647494901,10064.9310569138,10229.0170057546,9762.0524126348
BTC,2019-08-24,10364.2813536875,10103.4428968157,10450.2923381724,10034.0864475747
BTC,2019-08-25,10171.4974606754,10392.6163373387,10408.9638527379,9901.48601199
BTC,2019-08-26,10068.922419922,10171.4901866522,10292.8410213641,9911.5088196017
BTC,2019-08-27,10312.2150398496,10138.5708591703,10624.6051684248,10136.0717230708
BTC,2019-08-28,10122.1965329581,10312.1968630254,10402.2974923049,10042.8792879247
BTC,2019-08-29,9743.1620510451,10169.1427383499,10279.2542249405,9600.8350390244
BTC,2019-08-30,9487.9764335192,9743.1587296904,9747.1198283495,9325.3941544287
BTC,2019-08-31,9590.7363369227,9487.9600487016,9682.7255361249,9343.706051107
BTC,2019-09-01,9624.9839105321,9580.7613524785,9699.8643785368,9406.4444841648
BTC,2019-09-02,9780.6678970327,9624.9799668178,9819.1586219728,9552.150793747
BTC,2019-09-03,10381.8559592516,9781.8643381081,10440.2204552588,9738.2475728895
BTC,2019-09-04,10691.31129913,10366.3738173131,10752.421494933,10290.4944163268
BTC,2019-09-05,10555.0469008368,10691.3185189859,10810.0181694004,10185.2579080405
BTC,2019-09-06,10576.3178915251,10555.0623986939,10643.9460656338,10463.8132938419
BTC,2019-09-07,10334.0238858467,10576.325191402,10928.3438130991,10201.6083180634
BTC,2019-09-08,10495.2273642085,10333.9990632916,10563.7108903098,10288.7531640979
BTC,2019-09-09,10402.7965306911,10485.4097238908,10595.1955635918,10244.5825763984
BTC,2019-09-10,10332.9421881057,10402.7679483575,10524.3869543828,10097.980384673
BTC,2019-09-11,10082.9468264833,10332.9372738617,10380.3065877429,9956.122723091
BTC,2019-09-12,10152.7529840771,10107.4950381242,10269.0303923868,9891.8033006502
BTC,2019-09-13,10396.7672047403,10152.7606229694,10459.9266066139,10055.264493713
BTC,2019-09-14,10299.4769604855,10396.7622589643,10447.3886320838,10167.9910490121
BTC,2019-09-15,10351.2320218437,10299.4945680727,10425.9118165804,10229.4541811551
BTC,2019-09-16,10302.1907136783,10361.0856374306,10381.5645871136,10267.8654622876
BTC,2019-09-17,10301.6596516938,10306.1484003644,10373.063508627,10093.1402791067
BTC,2019-09-18,10231.4215119596,10301.6612572095,10304.6236445462,10145.3457608603
BTC,2019-09-19,10168.2877093815,10231.4130246146,10263.8233825536,10094.3250130397
BTC,2019-09-20,10223.5055788024,10166.778772232,10286.0107495563,9687.2941604435
BTC,2019-09-21,10138.3352052234,10223.5070882201,10289.215657675,10065.6289399979
BTC,2019-09-22,9984.520515967,10138.3575582109,10179.7424745144,9908.5728146086
BTC,2019-09-23,10031.8667089936,9984.5188569016,10083.0981311308,9850.7530853868
BTC,2019-09-24,9719.7186961077,10031.8668723599,10062.9198651927,9630.6957676786
BTC,2019-09-25,8688.9735259572,9719.7042573091,9770.1614839288,7944.3344976399
BTC,2019-09-26,8438.7085524873,8528.4647881237,8741.5095614673,8230.4665261865
BTC,2019-09-27,8103.2108995944,8438.7164590239,8462.412485799,7757.276118248
BTC,2019-09-28,8195.2106969967,8103.9015715921,8286.7432634801,7869.5531703496
BTC,2019-09-29,8146.4140320046,8183.3160575171,8321.1605871808,7723.6914190451
BTC,2019-09-30,8085.7132904218,8146.4229637683,8228.6414937867,7905.0177355603
BTC,2019-10-01,8241.3414700027,8055.6941385794,8331.291685876,7728.6784268333
BTC,2019-10-02,8333.6891904217,8298.6247752408,8508.7054089532,8195.0452436724
BTC,2019-10-03,8273.4640176573,8333.7102961953,8388.0158617972,8177.6946009014
BTC,2019-10-04,8203.8438327979,8273.457418693,8412.6500471359,8060.3253166919
BTC,2019-10-05,8163.9026381024,8231.7862486842,8240.9487694807,8014.4193228933
BTC,2019-10-06,8137.1466890387,8163.9014408188,8196.2495136292,8025.5004622684
BTC,2019-10-07,7853.6933048347,8138.8334890181,8171.5682535605,7802.4648508888
BTC,2019-10-08,8236.2083793045,7850.6845764281,8304.1401391898,7777.6315711193
BTC,2019-10-09,8201.6378181926,8236.2058748116,8316.9906726779,8113.1118049261
BTC,2019-10-10,8572.3808124348,8173.8388033611,8691.0726909608,8117.9122396114
BTC,2019-10-11,8582.1445177037,8572.3823010202,8654.3827760417,8435.1865102049
BTC,2019-10-12,8320.1715813968,8582.1481229343,8796.4572820666,8288.2276305072
BTC,2019-10-13,8328.6042603935,8320.1681544832,8406.1424145675,8225.3014573464
BTC,2019-10-14,8282.1773258265,8309.172912971,8468.9736397711,8167.2649036564
BTC,2019-10-15,8337.8189985374,8282.1815958386,8385.553410467,8214.3188684159
BTC,2019-10-17,8003.8203947876,8166.3447732561,8184.3864357352,7918.275881375
BTC,2019-10-18,8058.0580811125,8003.8192612882,8120.1211057353,7937.85216577
BTC,2019-10-19,7970.2394756046,8058.0588747305,8121.0458847574,7820.0663431405
BTC,2019-10-20,7943.3471070605,7956.8908024537,8095.9033915042,7882.64696812
BTC,2019-10-21,8200.3187633988,7943.3524118623,8306.0049011291,7884.5186252234
BTC,2019-10-22,8200.2460994923,8233.7994675616,8346.5564972109,8152.2378874061
BTC,2019-10-23,8073.4095438836,8200.2443815085,8309.6653283231,8054.948064535
BTC,2019-10-24,7420.4158364928,8027.2938149864,8054.9948877667,7307.3919459376
BTC,2019-10-25,7460.6174159279,7420.4140343537,7503.5997636313,7347.6308650578
BTC,2019-10-26,8591.2238974163,7421.5718045224,8762.6804975733,7393.2614130168
BTC,2019-10-27,9171.3065318558,8591.236577377,10332.4095068033,8591.225767542
BTC,2019-10-28,9578.3675560737,9259.5218725081,9813.4438845701,9103.7371342798
BTC,2019-10-29,9458.2233596272,9578.3643867381,9930.9740212146,9272.6566523034
BTC,2019-10-30,9455.7246926058,9228.0745024715,9551.7787262272,9125.7784571584
BTC,2019-10-31,9225.9954793378,9455.7281976834,9468.9632450573,9004.1323044173
BTC,2019-11-01,9131.4106303055,9225.9977687797,9425.4499396045,8954.8996395848
BTC,2019-11-02,9197.6323446207,9131.417153149,9291.1176443276,9047.1765944573
BTC,2019-11-03,9290.8966023936,9230.4788579257,9377.0845217723,9197.8331423071
BTC,2019-11-04,9202.41545055,9290.8997939328,9362.6331368704,9074.3828794251
BTC,2019-11-05,9369.6280811552,9203.82600676,9526.1651953663,9125.8615306776
BTC,2019-11-06,9326.5996237841,9404.3808704159,9466.0709611156,9173.0446858736
BTC,2019-11-07,9335.7524023305,9326.5925312023,9439.2157352965,9254.7321145303
BTC,2019-11-08,9226.4858208826,9331.2157964608,9364.5908136105,9088.1076283266
BTC,2019-11-09,8794.3586445233,9205.6186057378,9247.6143524101,8666.3896136883
BTC,2019-11-10,8798.0420546256,8794.3626098316,8881.9090867746,8719.961753072
BTC,2019-11-11,9081.1868784913,8798.0360673049,9123.3385109165,8742.7376262472
BTC,2019-11-12,8711.5343391679,9081.1777328395,9096.0262777344,8613.8923947128
BTC,2019-11-13,8760.8927181435,8711.5361529991,8856.3815562048,8564.9379334475
BTC,2019-11-14,8749.520591019,8760.8885463841,8837.9212515235,8703.6354498734
BTC,2019-11-15,8656.970922354,8758.5466419692,8785.0541994457,8562.3745932951
BTC,2019-11-16,8500.6435581622,8656.9718583229,8763.903472235,8359.8491915927
BTC,2019-11-17,8469.2608988992,8500.6439356134,8539.1321737562,8423.5432052426
BTC,2019-11-18,8537.3396519676,8469.2610145267,8624.9563052093,8369.2249628799
BTC,2019-11-19,8205.8063659942,8500.6446029465,8500.6464893105,8035.8859070324
BTC,2019-11-20,8118.4885358003,8205.8100433327,8205.8100433327,7988.9226284942
BTC,2019-11-21,8074.8431736099,8119.4844439851,8215.6195886669,8029.0977271002
BTC,2019-11-22,7612.7405735024,8074.8405612179,8118.1139955905,7420.2813215708
BTC,2019-11-23,7262.1105349483,7618.5794132959,7717.8020876528,6804.1430649358
BTC,2019-11-24,7303.4057585242,7262.127934238,7354.8626346009,7094.9757909466
BTC,2019-11-25,7041.7329364242,7303.4142651484,7338.6986773229,6920.6314970308
BTC,2019-11-26,7211.8618087461,6894.6513544812,7368.1473890049,6524.5528585049
BTC,2019-11-27,7141.0694486947,7211.8709827098,7336.3010102776,7012.0577020164
BTC,2019-11-28,7523.4806726005,7141.0755085305,7660.640370473,6851.6229297827
BTC,2019-11-29,7390.207469227,7523.4728866811,7647.5180888521,7379.3099176482
BTC,2019-11-30,7729.265938935,7390.2106561699,7856.6079055294,7378.4055432631
BTC,2019-12-01,7542.2356086361,7748.3354868447,7805.0293223847,7439.0988671462
BTC,2019-12-02,7381.9630078152,7542.2453443015,7564.9400791923,7238.3222325106
BTC,2019-12-03,7333.4329304881,7381.9620050298,7440.61573641,7162.4921248334
BTC,2019-12-04,7315.3677645579,7315.4392033661,7407.4107747383,7238.7305917929
BTC,2019-12-05,7213.7337617194,7315.3692744808,7767.9087248467,7089.1412888854
BTC,2019-12-06,7398.7870496069,7213.7434159704,7488.1377716159,7155.1199462029
BTC,2019-12-07,7511.8805831153,7392.9109372956,7583.3874556567,7304.0704409213
BTC,2019-12-08,7532.1235130864,7511.8846051368,7619.6660178313,7475.0155939926
BTC,2019-12-09,7550.2391998746,7532.1235130405,7573.1560176261,7387.1540158748
BTC,2019-12-10,7333.0960431601,7550.2388152349,7652.7426061678,7285.2277677358
BTC,2019-12-11,7239.762575441,7333.0958889046,7394.5046757608,7161.5272908812
BTC,2019-12-12,7198.0666770463,7240.0782270224,7269.4743912492,7131.6440544468
BTC,2019-12-13,7190.2723692612,7203.9566063196,7282.3361427744,7081.8802205187
BTC,2019-12-14,7238.8743229875,7188.0718951202,7297.5888943435,7183.2017544808
BTC,2019-12-15,7087.0249853497,7238.9930894862,7271.5711842833,7007.4269228552
BTC,2019-12-16,7112.7314761241,7087.0249577639,7198.3238397492,7007.5588139996
BTC,2019-12-17,6883.4963937703,7112.5049767671,7139.5802433663,6828.4794483346
BTC,2019-12-18,6584.0288433458,6884.6615535556,6933.7411793769,6565.0096445899
BTC,2019-12-19,7424.0154002314,6584.0304242163,7424.0640296275,6427.9593864456
BTC,2019-12-20,7147.5683237876,7285.1220444953,7367.1588561057,7043.1622494564
BTC,2019-12-21,7139.9333705301,7147.5690010018,7177.3921510618,7076.1110403604
BTC,2019-12-22,7286.3350811573,7155.2131745547,7328.9308126043,7122.024233486
BTC,2019-12-23,7236.9862046092,7286.3363101526,7356.6405191403,7083.7347260972
BTC,2019-12-24,7166.1723785327,7236.9860862933,7498.7973044554,7127.9362547168
BTC,2019-12-25,7235.6266504955,7166.1730451795,7292.0067358272,7045.1229145654
BTC,2019-12-26,7212.8093952216,7235.6235815876,7277.8041110461,7120.2139500788
BTC,2019-12-27,7183.7065360296,7212.8083613511,7427.4722801559,7105.7238635861
BTC,2019-12-28,7227.2937116818,7183.7060825993,7251.38124578,7065.2783084265
BTC,2019-12-29,7311.560643923,7227.2943882922,7348.7897943166,7217.0795968016
BTC,2019-12-30,7385.464847913,7315.1515481719,7520.6370340888,7272.5937907838
BTC,2019-12-31,7251.2767943228,7379.1578812114,7396.6033217963,7202.130765888
BTC,2020-01-01,7179.9578192867,7251.2778875377,7298.8920416221,7119.6269458661
BTC,2020-01-02,7174.7440119511,7179.9576886221,7237.014865974,7152.9924021269
BTC,2020-01-03,6955.4875796712,7174.712356544,7190.1887492761,6914.8574738005
BTC,2020-01-04,7291.2195053189,6955.4875796713,7390.0418350594,6852.0934014516
BTC,2020-01-05,7337.6366701377,7291.2175035999,7390.7629353266,7263.1786956072
BTC,2020-01-06,7347.4332644392,7337.421390676,7487.3338707877,7316.7633702616
BTC,2020-01-07,7713.8607536496,7351.5788898737,7749.6486132989,7339.7025230938
BTC,2020-01-08,8039.6037008183,7714.9084837456,8192.1588771153,7708.8853512691
BTC,2020-01-09,8067.6063690564,8046.8029434773,8463.1834184145,7871.0354994792
BTC,2020-01-10,7808.7013638165,8046.1115292961,8046.2838824034,7755.4012267825
BTC,2020-01-11,8087.4528852359,7808.7037326474,8136.4991260981,7670.4577915925
BTC,2020-01-12,8078.9935319903,8195.4759992712,8278.6605796425,8008.905116977
BTC,2020-01-13,8149.3137171468,8080.2296143216,8188.3858023401,7959.5335219804
BTC,2020-01-14,8116.9610079465,8150.8073363647,8191.1877148195,8035.3155303557
BTC,2020-01-15,8735.1424391365,8110.5112347453,8848.9219945188,8108.9540387696
